股票代码,截止日期,股票名称,行业,上市时间,市盈率-动态,市净率,总市值,流通市值
601288,2015-04-20,农业银行,银行,20100715,7.74,0.84,2278389550513.0,2078279812158.0
601808,2015-04-20,中海油服,采掘行业,20070928,17.62,1.64,75391153600.0,46775394400.0
002311,2015-04-20,海大集团,农牧饲渔,20091127,16.05,3.51,88644598402.0,88579135024.0
002463,2015-04-20,沪电股份,电子元件,20100818,34.82,8.81,133108225854.0,133000801317.0
600674,2015-04-20,川投能源,电力行业,19930924,12.0,1.52,67513304568.0,67513304568.0
600660,2015-04-20,福耀玻璃,玻璃玻纤,19930610,16.45,4.37,154966570930.0,118937328394.0
600600,2015-04-20,青岛啤酒,酿酒行业,19930827,11.94,2.68,83952567746.0,43639610532.0
601601,2015-04-20,中国太保,保险,20071225,6.77,1.45,412616445005.0,293583828005.0
601668,2015-04-20,中国建筑,工程建设,20090729,4.06,0.43,206601952220.0,206601952220.0
002493,2015-04-20,荣盛石化,化纤行业,20101102,123.03,3.34,145745962486.0,136594476173.0
600519,2015-04-20,贵州茅台,酿酒行业,20010827,21.59,8.19,1859996950340.0,1859996950340.0
601688,2015-04-20,华泰证券,证券,20100226,11.79,1.17,200215838773.0,162063894791.0
000001,2015-04-20,平安银行,银行,19910403,4.14,0.47,211718567540.0,211715103124.0
000999,2015-04-20,华润三九,中药,20000309,13.97,2.16,47812979060.0,47769198706.0
601788,2015-04-20,光大证券,证券,20090818,20.65,1.07,77000153571.0,65241870611.0
600377,2015-04-20,宁沪高速,铁路公路,20010116,11.82,1.5,60452970000.0,45626196012.0
601628,2015-04-20,中国人寿,保险,20070109,5.99,2.14,1339464369950.0,986827086700.0
600585,2015-04-20,海螺水泥,水泥建材,20020207,15.55,0.69,130680801598.0,98632665598.0
601939,2015-04-20,建设银行,银行,20070925,6.63,0.67,2275923318693.0,83464821172.0
600016,2015-04-20,民生银行,银行,20001219,4.52,0.31,172064904713.0,139366144227.0
002028,2015-04-20,思源电气,电网设备,20040805,52.51,10.71,166082488836.0,129591391556.0
600111,2015-04-20,北方稀土,小金属,19970924,96.29,8.28,197888704191.0,197888704191.0
600028,2015-04-20,中国石化,石油行业,20010808,19.27,0.93,770295525594.0,603573268139.0
601988,2015-04-20,中国银行,银行,20060705,7.22,0.65,1710947906732.0,1119164883832.0
600036,2015-04-20,招商银行,银行,20020409,6.5,0.77,976260223215.0,798546438847.0
600183,2015-04-20,生益科技,电子元件,19981028,47.91,10.05,156070910528.0,153846724202.0
